# 官网形码审计表(2026-09-15):hanzi_shapes.tsv 切换前的差异比对数据,不被 include_str 消费
# source: flypy.cc ixdata.json 8414 字;列:字<TAB>官网形码集合(|分隔)<TAB>官网全码(音2形2)<TAB>现表形码(<TAB>标记
# 官网权威性由所有者确认;差异 345 处根因:官网按笔顺首末部件,现表按字义主部件(见 CROSSCHECK.md)
# 切换计划:后续代码 PR 修改 xhup-core shape.rs 消费本表后,hanzi_shapes.tsv 才更新
叮	kd	dkkd	kd	
可	dk	kedk	dk	
台	sk	tdsk	sk	
叱	kb	iikb	kb	
史	ln	uiln	ln	
右	uk	yzuk	uk	
叵	kk	pokk	kk	
叶	ku	yeku xpku	ku	
号	kv	hckv	kv	
司	vk	sivk	vk	
叹	ky	tjky	ky	
叻	kl	lekl	kl	
叼	kd	dnkd	kd	
叽	kj	jikj	kj	
吁	ky	xuky yuky	ky	
吂	wk	mhwk	-	
吃	kq	iikq	ky	DIFF
各	wk	gewk	wk	
吆	ky	ycky	ky	
合	rk	gerk herk	rk	
吉	uk	jiuk	uk	
吊	kj	dnkj	kj	
吋	kc	cykc	-	
同	kk	tskk	kk	
名	xk	mkxk	xk	
后	pk	hzpk	pk	
吏	an	lian	an	
吐	kt	tukt	kt	
向	pk	xlpk	pk	
吒	kq	vakq	kq	
吓	kx	hekx xxkx	kx	
吔	ky	yeky	-	
吕	kk	lvkk	kk	
